【基本情報】,,,,,,,
画面ID,,,,,,,
画面名,,,,,,,
機能概要,"

",,,,,,
Figma URL,,,,,,,
対象ユーザー,,,,,,,
,,,,,,,
【表示項目】,,,,,,,
大項目,詳細 / 対象,指示,,,,,
パスワード再設定,input,"新pw, 新pw確認用",,,,,
,,,,,,,
,,,,,,,
【画面制御】,,,,,,,
大項目,制御する状態,処理,,,,,
パスワード再設定,ログイン and 画面URL直叩き,「原稿_一覧 / 詳細」画面へ遷移,,,,,
,ログイン and 再設定リンク以外から表示された,「原稿_一覧 / 詳細」画面へ遷移,,,,,
,ログアウト and 画面URL直叩き,「ログイン」画面へ遷移,,,,,
,ログアウト and 再設定リンク以外から表示された,「ログイン」画面へ遷移,,,,,
,,,,,,,
,,,,,,,
【アクション】,,,,,,,
ユーザーアクション,アクションstep,フロント / バック,正常/エラー,条件,期待値,テスト結果,API
パスワード再設定,画面表示,フロント,,画面表示されたとき,"ヘッダー, 新pw_input, 新pw確認用_input, 再設定_buttonが表示される",,
,初期表示,フロント,,,"新pw_input, 新pwk確認用_input,が空欄である",,
,新pw入力,フロント,,-,入力値が保持される,,
,新pwのマスク,フロント,,目のアイコン押下時,"マスクの場合：pwの入力値が可視化される
非マスクの場合：pwの入力値がマスクされる",,
,新pw入力バリデーション,フロント,エラー,"未入力, 半角英数8文字未満",バリデーションが表示される,,
,新pw確認用入力,フロント,,-,入力値が保持される,,
,新pw確認用入力のマスク,フロント,,目のアイコン押下時,"マスクの場合：pwの入力値が可視化される
非マスクの場合：pwの入力値がマスクされる",,
,新pw確認用バリデーション,フロント,エラー,"未入力, 半角英数8文字未満",バリデーションが表示される,,
,一致チェック,フロント,エラー,"新pw, 新pw確認用の値が異なる",不一致エラーが表示される,,
,再設定ボタン押せる,フロント,,"and条件
・新pw, 新pw確認用の入力条件を満たしている
・新pw, 新pw確認用の値が一致している",保存ボタンが押せる,,
,再設定ボタン押せない,フロント,エラー,"or条件
・新pw, 新pw確認用の入力条件を満たしていない
・新pw, 新pw確認用の値が一致していない",保存ボタンが押せない,,
,パスワード更新,UI WF,,入力条件を満たす,パスワードが変更される,,
,,フロント,,パスワードが変更後,パスワード再設定完了アラート表示,,
,完了後遷移,フロント,,更新完了,「ログイン」画面へ遷移する,,
