【基本情報】,,,,,,,
画面ID,,,,,,,
画面名,,,,,,,
機能概要,"

",,,,,,
Figma URL,,,,,,,
対象ユーザー,,,,,,,
,,,,,,,
【表示項目】,,,,,,,
大項目,詳細 / 対象,指示,,,,,
行事一覧,text,開催月,,,,,
,text,行事名,,,,,
,button,編集導線,,,,,
,button,コピー導線,,,,,
,button,削除導線,,,,,
行事新規作成,button,新規作成導線,,,,,
共通印刷物一覧,text,印刷物名,,,,,
企業ノベルティ一覧,text,ノベルティ名,,,,,
,,,,,,,
,,,,,,,
【アクション】,,,,,,,
ユーザーアクション,アクションstep,フロント / バック,正常/エラー,条件,期待値,テスト結果,API
,,,,,,,
共通印刷物選択,画面表示,フロント,,,カテゴリー、サブカテゴリー、その他が一覧表示される,,
,項目選択,フロント,,,選択した項目が活性化される,,
,,,,,,,
ノベルティ選択,画面表示,フロント,,,カテゴリー、サブカテゴリー、その他が一覧表示される,,
,項目選択,フロント,,,選択した項目が活性化される,,
