【基本情報】,,,,,,,
画面ID,,,,,,,
画面名,,,,,,,
機能概要,"

",,,,,,
Figma URL,,,,,,,
対象ユーザー,,,,,,,
,,,,,,,
【表示項目】,,,,,,,
大項目,詳細 / 対象,指示,,,,,
メニュー表示,menu,メニューをサイドバーの右側に表示,,,,,
一覧表示,image,印刷物の画像,,,,,
,button,ダウンロード導線,,,,,
,,,,,,,
,,,,,,,
【画面制御】,,,,,,,
大項目,制御する状態,処理,,,,,
共通印刷物_一覧,ログアウト,「ログイン」画面へ遷移,,,,,
,,,,,,,
,,,,,,,
【アクション】,,,,,,,
ユーザーアクション,アクションstep,フロント / バック,正常/エラー,条件,期待値,テスト結果,API
行事選択,画面表示,フロント,,サイドバーで「共通印刷物」を選択,何も表示されていない,,
,,フロント,,メニューから行事を選択,デザイン生成ボタンを表示,,
,,フロント,,メニューからカテゴリーを選択,選択したカテゴリーに分類される共通印刷物を表示,,
,,フロント,エラー,"And条件
メニューからカテゴリーを選択
共通印刷物が無い",「該当する共通印刷物がありません」を表示,,
,原稿取得処理,Backend WF,,デザイン生成ボタン選択,選択された行事の共通印刷物一覧が取得される,,
,原稿表示,フロント,,原稿が取得できる,受け取った原稿一覧表示される,,
,取得失敗時案内,フロント,エラー,原稿取得に失敗する,再実行ボタンが表示される,,
,,,,,,,
共通印刷物ダウンロード,画像ダウンロード,Backend WF,,ダウンロード対象の原稿がある,ローカルファイルにDLされる,,
,,Backend WF,エラー,ダウンロード対象の原稿がない,エラーアラートを表示,,
