【基本情報】,,,,,,,
画面ID,,,,,,,
画面名,,,,,,,
機能概要,"

",,,,,,
Figma URL,,,,,,,
対象ユーザー,,,,,,,
,,,,,,,
【表示項目】,,,,,,,
大項目,詳細 / 対象,指示,,,,,
削除テキスト,text,,,,,,
削除,button,削除の導線,,,,,
閉じる,button,ポップアップ非表示の導線,,,,,
,,,,,,,
,,,,,,,
【アクション】,,,,,,,
ユーザーアクション,アクションstep,フロント / バック,正常/エラー,条件,期待値,テスト結果,API
削除,ポップアップ表示,フロント,,-,"text, delete_button, close_buttonが表示されている",,
,削除実行,Backend WF,,削除が確定される,「削除Flag = true」で保存される,,
,,フロント,,削除完了後,削除完了アラート表示,,
,ポップアップ非表示,フロント,,削除完了,ポップアップが閉じる,,
,,,,,,,
閉じる,ポップアップ非表示,フロント,,-,ポップアップが閉じる,,
