【基本情報】,,,,,,,
画面ID,,,,,,,
画面名,,,,,,,
機能概要,"

",,,,,,
Figma URL,,,,,,,
対象ユーザー,,,,,,,
,,,,,,,
【表示項目】,,,,,,,
大項目,詳細 / 対象,指示,,,,,
メニュー表示,menu,メニューをサイドバーの右側に表示,,,,,
原稿サイズタブ,tab,"A3縦, A4縦, 長尺縦, 長尺横",,,,,
原稿一覧,image,3種類,,,,,
,button,評価ボタン,,,,,
行事情報編集,button,行事編集導線,,,,,
原稿生成,button,初回生成導線,,,,,
再生成,button,再生成導線,,,,,
原稿ダウンロード,button,ポップアップ表示導線,,,,,
,,,,,,,
,,,,,,,
【画面制御】,,,,,,,
大項目,制御する状態,処理,,,,,
原稿_一覧 / 詳細,ログアウト,「ログイン」画面へ遷移,,,,,
,,,,,,,
,,,,,,,
【アクション】,,,,,,,
ユーザーアクション,アクションstep,フロント / バック,正常/エラー,条件,期待値,テスト結果,API
行事選択,画面表示,フロント,,サイドバーで「行事一覧」を選択,何も表示されていない,,
,,フロント,,メニューから行事を選択,ヘッダーにデザイン生成ボタンを表示,,
,,,,,,,
原稿生成,原稿取得処理,Backend WF,,デザイン生成ボタン選択,原稿3種が取得される,,
,原稿表示,フロント,,原稿が取得できる,受け取った原稿3種（画像）、各サイズごとの画像が表示される,,
,取得失敗時案内,フロント,エラー,原稿取得に失敗する,再実行ボタンが表示される,,
,,,,,,,
行事情報編集,編集ポップアップ表示,フロント,,編集対象の行事がある,「行事新規作成 / 編集ポップアップ」が表示される,,
,,,,,,,
再生成,原稿再取得処理,Backend WF,,再生成ボタン選択,各サイズごとの画像が取得される,,
,原稿表示,フロント,,再生成に成功する,受け取った各サイズごとの画像が表示される,,
,再生成失敗時案内,フロント,エラー,再生成に失敗する,再実行ボタンが表示される,,
,,,,,,,
原稿ダウンロード,ダウンロードボタン押せる,フロント,,"and条件
・ダウンロード対象の原稿がある
・未評価（初回DL）
・3種類のデザインが評価されている
・ダウンロード月から2ヶ月以内
┗ ダウンロード月（3/16）であれば、5/30までダウンロード可能",ダウンロードボタン押せる,,
,ダウンロードボタン押せない,フロント,,"or条件
・ダウンロード対象の原稿がない
・3種類のデザインが評価されていない
・ダウンロード月から2ヶ月以内でない
┗ ダウンロード月（3/16）であれば、5/30までダウンロード可能",ダウンロードボタン押せない,,
,評価保存,Backend WF,,評価入力完了,評価が保存される,,
,原稿ダウンロード,フロント,,評価保存完了,"ローカルファイルにダウンロード
・Win：File Explorer
・Mac：Finder",,
