【基本情報】,,,,,,,
画面ID,,,,,,,
画面名,,,,,,,
機能概要,"

",,,,,,
Figma URL,,,,,,,
対象ユーザー,,,,,,,
,,,,,,,
【表示項目】,,,,,,,
大項目,詳細 / 対象,指示,,,,,
パスワード再設定,input,"旧pw, 新pw, 新pw確認用",,,,,
メアド再設定,input,"新メアド, pw",,,,,
,,,,,,,
,,,,,,,
【画面制御】,,,,,,,
大項目,制御する状態,処理,,,,,
アカウント情報,ログアウト,「ログイン」画面へ遷移,,,,,
,,,,,,,
,,,,,,,
【アクション】,,,,,,,
ユーザーアクション,アクションstep,フロント / バック,正常/エラー,条件,期待値,テスト結果,API
ページアクセス,メールアドレス更新,Backend WF,,"AND条件
・idパラメータがある時
・有効期限が過ぎていない時",メールアドレスが更新される,,
,,Backend WF,エラー,"AND条件
・idパラメータがある時
・有効期限が過ぎている時",エラーアラートが表示される,,
,,,,,,,
パスワード再設定,画面表示,フロント,,画面表示されたとき,"メアド表示欄, パスワード表示欄が表示される",,
,ポップアップ表示,フロント,,変更ボタンが押されたとき,"旧pw_input, 新pw_input, 新pw_input, 変更ボタンが表示される",,
,旧pw入力,フロント,,-,入力値が保持される,,
,旧pw入力バリデーション,フロント,エラー,"未入力, 半角英数8文字未満",バリデーションが表示される,,
,新pw入力,フロント,,-,入力値が保持される,,
,新pw入力バリデーション,フロント,エラー,"未入力, 半角英数8文字未満",バリデーションが表示される,,
,新pw確認用入力,フロント,,-,入力値が保持される,,
,新pw確認用バリデーション,フロント,エラー,"未入力, 半角英数8文字未満",バリデーションが表示される,,
,一致チェック,フロント,エラー,"新pw, 新pw確認用の値が異なる",不一致エラーが表示される,,
,保存ボタン押せる,フロント,,"and条件
・旧pw, 新pw, 新pw確認用の入力条件を満たしている
・旧pw, 新pw, 新pw確認用の値が一致している",保存ボタンが押せる,,
,保存ボタン押せない,フロント,エラー,"or条件
・旧pw, 新pw, 新pw確認用の入力条件を満たしていない
・旧pw, 新pw, 新pw確認用の値が一致していない",保存ボタンが押せない,,
,旧pw照合,Backend WF,エラー,旧pwの値が異なる,アラートが表示される,,
,パスワード更新,Backend WF,,旧pwが正しい,パスワードが変更される,,
,,フロント,,パスワードが変更後,パスワード再設定完了アラート表示,,
,,フロント,,,ポップアップ非表示,,
,,,,,,,
メアド再設定,ポップアップ表示,フロント,,変更ボタンが押されたとき,"新メアド_input, pw_input, 変更ボタンが表示される",,
,メアド入力,フロント,,-,新メアドの入力値が保持される,,
,メアド入力バリデーション,フロント,エラー,"未入力, メアド形式ではない",バリデーションが表示される,,
,pw入力,フロント,,-,入力値が保持される,,
,pw入力バリデーション,フロント,エラー,"未入力, 半角英数8文字未満",バリデーションが表示される,,
,再設定ボタン押せる,フロント,,"新メアド, pwの入力条件を満たす",再設定ボタン押せる,,
,再設定ボタン押せない,フロント,エラー,"新メアド, pwの入力条件を満たさない",再設定ボタン押せない,,
,重複チェック,Backend WF,エラー,メールアドレス重複,アラートが表示される,,
,pw照合,Backend WF,エラー,pwの値が異なる,アラートが表示される,,
,メールアドレス更新,Backend WF,,"and条件
・入力条件を満たす
・pwの値が一致",メールアドレスを更新する,,
,認証メール送信,Backend WF,,"and条件
・入力条件を満たす
・pwの値が一致",認証メールが送信される,,
,メール送信完了案内,フロント,,メール送信後,画面にメアド認証メール送信済みであることを表示,,
,,フロント,,,ポップアップ非表示,,
