【基本情報】,,,,,,,
画面ID,,,,,,,
画面名,,,,,,,
機能概要,"

",,,,,,
Figma URL,,,,,,,
対象ユーザー,,,,,,,
,,,,,,,
【表示項目】,,,,,,,
大項目,詳細 / 対象,指示,,,,,
年度切り替え,dropdown,2026年度 〜 最新,,,,,
メニュー項目一覧,list,遷移先のページ名を表示,,,,,
企業情報,button,企業情報編集導線,,,,,
アカウント情報,button,アカウント情報編集導線,,,,,
ログアウト,button,ログアウト導線,,,,,
,,,,,,,
,,,,,,,
【アクション】,,,,,,,
ユーザーアクション,アクションstep,フロント / バック,正常/エラー,条件,期待値,テスト結果,API
年度切り替え,dropdown変更,フロント,,,選択された年度の一覧を表示,,
,,,,,,,
メニュー一覧,pageload,フロント,,role = エンドユーザー,"遷移可能画面名が一覧で表示される
・行事一覧
・共通印刷物
・ノベルティ",,
,,フロント,,role = 管理者,"遷移可能画面名が一覧で表示される
・ログ管理
・業界・テンプレ管理",,
,メニュー選択,フロント,,-,各画面へ遷移される,,
,,,,,,,
企業情報,画面遷移,UI WF,,-,「企業情報」画面へ遷移する,,
,,,,,,,
アカウント情報,画面遷移,UI WF,,-,「アカウント情報」画面へ遷移する,,
,,,,,,,
ログアウト,ログアウト実行,Backend WF,,ログイン状態である,サービスからログアウトする,,
,ログイン画面遷移,フロント,,ログアウト完了,「ログイン」画面へ遷移する,,
