【基本情報】,,,,,,,
画面ID,,,,,,,
画面名,,,,,,,
機能概要,"

",,,,,,
Figma URL,,,,,,,
対象ユーザー,,,,,,,
,,,,,,,
【表示項目】,,,,,,,
大項目,詳細 / 対象,指示,,,,,
企業情報_新規登録,input,"企業名, 住所, 電話番号",,,,,
,dropdown,"業種, 業種の第二階層",,,,,
企業情報_編集,input,"企業名, 住所, 電話番号",,,,,
,dropdown,"業種, 業種の第二階層",,,,,
,,,,,,,
,,,,,,,
【画面制御】,,,,,,,
大項目,制御する状態,処理,,,,,
企業情報_新規登録,ログアウト,「ログイン」画面へ遷移,,,,,
企業情報_編集,ログアウト,「ログイン」画面へ遷移,,,,,
,,,,,,,
,,,,,,,
【アクション】,,,,,,,
ユーザーアクション,アクションstep,フロント / バック,正常/エラー,条件,期待値,テスト結果,API
企業情報_新規登録,画面表示,フロント,,画面表示されたとき,"企業名, 住所, 電話番号, 業種, 業種の二階層が表示されている",,
,初期表示,フロント,,-,"企業名, 住所, 電話番号, 業種, 業種の二階層が空であること",,
,業種二階層の初期表示,フロント,,-,グレーアウトする,,
,項目入力,フロント,,-,入力値が保持される,,
,業種二階層の活性化,フロント,,業種が選択された時,グレーアウトが解除され、選択可能となる,,
,必須入力バリデーション,フロント,エラー,"企業名, 住所, 電話番号, 業種, 業種の第二階層のいずれかが未入力",バリデーションが表示される,,
,"半角数字,ハイフンバリデーション",フロント,エラー,"電話番号が半角数字,ハイフン以外で入力",バリデーションが表示される,,
,保存ボタン押せる,フロント,,"and条件
・必須項目がすべて入力されている
・電話番号が半角数字で入力されている",保存ボタンが押せる,,
,保存ボタン押せない,フロント,エラー,"or条件
・必須項目がすべて入力されていない
・電話番号が半角数字で入力されていない",保存ボタンが押せない,,
,企業情報保存,UI WF,,入力条件を満たす,企業情報が保存される,,
,,UI WF,,企業情報が新規作成された場合,userに紐づけ,,
,,フロント,,保存完了後,保存完了アラート表示,,
,行事情報紐付け,UI WF,,企業情報保存後,"選択された業界1, 業界2に紐づく、初期行事情報を作成する",,
,保存後遷移,フロント,,保存完了,「原稿_一覧 / 詳細」画面へ遷移する,,
,,,,,,,
企業情報_編集,画面表示,フロント,,画面表示されたとき,"企業名, 住所, 電話番号, 業種, 業種の二階層が表示されている",,
,初期表示,フロント,,-,"企業名, 住所, 電話番号, 業種, 業種の二階層にDBで登録された値が表示されている",,
,項目入力,フロント,,-,編集内容が保持される,,
,必須入力バリデーション,フロント,エラー,"企業名, 住所, 電話番号, 業種, 業種の第二階層のいずれかが未入力",バリデーションが表示される,,
,半角数字バリデーション,フロント,エラー,電話番号が半角数字以外で入力,バリデーションが表示される,,
,保存ボタン押せる,フロント,,"and条件
・必須項目がすべて入力されている
・電話番号が半角数字で入力されている",保存ボタンが押せる,,
,保存ボタン押せない,フロント,エラー,"or条件
・必須項目のいずれかが入力されていない
・電話番号が半角数字で入力されていない",保存ボタンが押せない,,
,戻るボタン,UI WF,,-,一つ前の画面へ戻る,,
,企業情報更新,UI WF,,入力条件を満たす,企業情報が更新される,,
,,フロント,,更新完了後,更新完了アラート表示,,
