【基本情報】,,,,,,,
画面ID,,,,,,,
画面名,,,,,,,
機能概要,"

",,,,,,
Figma URL,,,,,,,
対象ユーザー,,,,,,,
,,,,,,,
【表示項目】,,,,,,,
大項目,詳細 / 対象,指示,,,,,
テンプレ読み込み,button,テンプレの一覧を表示,,,,,
参考イメージ表示,images,選択されたテンプレのイメージ原稿を3つ表示,,,,,
保存,input,"行事名, 行事詳細, プログラム, 注釈",,,,,
,date,"開始日時, 終了日時",,,,,
,,,,,,,
,,,,,,,
【初期表示】,,,,,,,
大項目,対象,表示,,,,,
参考イメージ表示,新規作成,非表示,,,,,
,編集 / 複製,選択されているテンプレの原稿を表示,,,,,
新規作成時,,空欄,,,,,
編集時,"行事名, 行事詳細, プログラム, 注釈, 開始日時, 終了日時",DBに登録されている値,,,,,
複製時,"行事名, 行事詳細, プログラム, 注釈, 開始日時, 終了日時",複製が押された行事の値,,,,,
,,,,,,,
,,,,,,,
【アクション】,,,,,,,
ユーザーアクション,アクションstep,フロント / バック,正常/エラー,条件,期待値,テスト結果,API
情報入力,ポップアップ表示,フロント,,新規作成,"参考イメージ：非表示
行事名, 行事詳細, プログラム, 注釈, 開始日時, 終了日時：空欄で表示される",,
,,フロント,,編集,"参考イメージ：選択されているテンプレの原稿を表示
行事名, 行事詳細, プログラム, 注釈, 開始日時, 終了日時：DBに登録されている値が表示される",,
,,フロント,,複製,"参考イメージ：選択されているテンプレの原稿を表示
行事名, 行事詳細, プログラム, 注釈, 開始日時, 終了日時：複製が押された行事の値が表示される",,
,項目入力,フロント,,-,入力値が保持される,,
,テンプレ選択,フロント,,-,"参考イメージ, 行事名, 行事詳細, プログラム, 注釈にテンプレに保存されている情報が自動補完される",,
,必須入力バリデーション,フロント,エラー,"行事名, 開始日時, 終了日時, 行事詳細, プログラム, 注釈のいずれかが未入力",バリデーションが表示される,,
,文字数チェック,フロント,エラー,○○の文字数が○桁以上,バリデーションが表示される,,
,,,,,,,
保存ボタン選択,保存ボタン押せる,フロント,,"and条件
・必須項目がすべて入力されている
・項目の上限桁数以下の文字数",保存ボタンが押せる,,
,押せない,フロント,エラー,"or条件
・必須項目のいずれかが入力されていない
・項目の上限桁数以上の文字数",保存ボタンが押せない,,
,,,,,,,
行事情報操作,新規作成,Backend WF,,入力条件を満たす,"新規行事レコードを作成
企業情報に紐づける",,
,デザイン生成,Backend WF,,行事情報の入力条件を全て満たしている,デザイン生成APIを飛ばす,,
,,Backend WF,,デザイン生成完了時,受け取ったURLでデザインデータを生成する,,
,,フロント,,保存完了後,保存完了アラート表示,,
,編集,Backend WF,,入力条件を満たす,対象の行事レコードを更新,,
,,フロント,,保存完了後,保存完了アラート表示,,
,ポップアップ非表示,フロント,,保存完了,ポップアップ非表示,,
