【基本情報】,,,,,,,
画面ID,,,,,,,
画面名,,,,,,,
機能概要,"

",,,,,,
Figma URL,,,,,,,
対象ユーザー,,,,,,,
,,,,,,,
【表示項目】,,,,,,,
大項目,詳細 / 対象,指示,,,,,
年切り替え,date,2026年〜,,,,,
月一覧表示,text,1~12,,,,,
,button,CSVダウンロード,,,,,
,,,,,,,
,,,,,,,
【画面制御】,,,,,,,
大項目,制御する状態,処理,,,,,
,ロール != 管理者,「ログイン」画面へ遷移,,,,,
,ログアウト,「ログイン」画面へ遷移,,,,,
,,,,,,,
,,,,,,,
【アクション】,,,,,,,
ユーザーアクション,アクションstep,フロント / バック,正常/エラー,条件,期待値,テスト結果,API
CSVダウンロード,画面表示,フロント,,-,"年度切り替え_dropdown, 月_text一覧, DL_button一覧が表示されている",,
,,フロント,,-,年度切り替え_dropdownの初期値が、表示年になっていること,,
,検索条件入力,フロント,,-,絞り込み条件が保持される,,
,CSV生成,Backend WF,,絞り込み条件に合致するログが存在する,CSVファイルが生成される,,
,CSVダウンロード,フロント,,CSV生成完了,CSVファイルをローカルにダウンロードできる,,
